,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,rank
AP2A2,218.262726,-0.186121528,0.104427671,-1.782300856,0.074700183,0.150678854,-1.13E+00
TBPL1,170.0358441,-0.18789403,0.091894212,-2.044677512,0.040886662,0.1047562,-1.39E+00
PLA2G6,67.13576979,-0.188058265,0.160384781,-1.17254433,0.240978585,0.342832395,-6.18E-01
CYCS,154.7184791,-0.189751293,0.124403148,-1.525293342,0.127185948,0.208605183,-8.96E-01
LSR,33.10277526,-0.191030597,0.173136969,-1.103349552,0.269875396,0.372943386,-5.69E-01
OLFM3,204.2200145,-0.193864606,0.119734126,-1.619125752,0.105420209,0.185474908,-9.77E-01
ATP2B3,140.9798144,-0.194413311,0.144992042,-1.340855041,0.179967522,0.272933762,-7.45E-01
EIF2S1,159.6416496,-0.197171568,0.12987814,-1.51812743,0.128982277,0.20994448,-8.89E-01
ATP2A2,578.8938361,-0.198323703,0.148127447,-1.338872079,0.180612321,0.273403972,-7.43E-01
XAB2,47.16257804,-0.198768101,0.156575724,-1.269469468,0.204273673,0.300938894,-6.90E-01
ENTPD4,152.9289875,-0.199886974,0.114830493,-1.740713369,0.081733834,0.158287354,-1.09E+00
GRIN2A,499.8727687,-0.20427775,0.137743373,-1.483031424,0.138066062,0.219047118,-8.60E-01
KCNB1,238.0173978,-0.204401484,0.116232418,-1.758558311,0.078652559,0.154928473,-1.10E+00
KRAS,343.4022661,-0.20461016,0.101804007,-2.009843874,0.044447716,0.109788519,-1.35E+00
GRM5,137.3415791,-0.205304205,0.128622851,-1.596172093,0.110450376,0.189213527,-9.57E-01
NOVA1,300.2898057,-0.206189297,0.109672367,-1.880047846,0.060101557,0.130827928,-1.22E+00
MECP2,155.1603988,-0.206671786,0.086195481,-2.39771024,0.01649791,0.062999411,-1.78E+00
ACTN1,143.1003982,-0.208709803,0.151770519,-1.375166956,0.16907969,0.259276476,-7.72E-01
MTOR,68.20891512,-0.211374216,0.139027415,-1.520377954,0.128416012,0.20994448,-8.91E-01
RAC1,642.4499027,-0.211412939,0.125323749,-1.686934363,0.091615974,0.169849839,-1.04E+00
RAD23B,374.5812743,-0.212005849,0.121950883,-1.73845276,0.082131067,0.158313389,-1.09E+00
TARDBP,320.1393563,-0.214510647,0.128046748,-1.675252603,0.093884681,0.17250526,-1.03E+00
HNRNPM,454.1168633,-0.214521971,0.091163706,-2.35315107,0.01861507,0.06735716,-1.73E+00
ERLEC1,409.6553228,-0.21493656,0.143694634,-1.49578696,0.134709181,0.214937716,-8.71E-01
GTF2H3,32.99091406,-0.215133735,0.129007145,-1.667611012,0.095392971,0.174887113,-1.02E+00
CAB39,262.6729677,-0.216287612,0.131464394,-1.645218191,0.099924823,0.180389452,-1.00E+00
PPM1L,179.9482774,-0.217083578,0.095989992,-2.261523035,0.023726888,0.07528724,-1.62E+00
DNM1L,300.461596,-0.218618564,0.088970204,-2.457211,0.014002042,0.058637993,-1.85E+00
CACNA1A,56.34104158,-0.221029167,0.130847336,-1.689214112,0.091178406,0.169419335,-1.04E+00
ATCAY,592.9973872,-0.223335042,0.139067305,-1.605949306,0.108285049,0.187678919,-9.65E-01
SYP,2423.147895,-0.227541993,0.177806375,-1.279717862,0.20064438,0.296120955,-6.98E-01
PPP2R5C,315.4041201,-0.227715491,0.111708612,-2.038477487,0.041502204,0.105396877,-1.38E+00
SMN1,230.8895601,-0.230971661,0.115439556,-2.000801718,0.045413762,0.110847201,-1.34E+00
PLCL2,164.8680577,-0.231191416,0.091425115,-2.528751714,0.011446897,0.053636998,-1.94E+00
CTNNB1,574.8817908,-0.234600504,0.093653886,-2.504973508,0.012246057,0.055188542,-1.91E+00
SLC4A10,347.5838056,-0.235042329,0.152271822,-1.54357074,0.122692358,0.20401647,-9.11E-01
CDC40,101.2449874,-0.240126662,0.191992932,-1.250705739,0.211041856,0.308704842,-6.76E-01
TOR1A,93.0799435,-0.240708078,0.136566868,-1.762565702,0.077973766,0.154928473,-1.11E+00
MEAF6,444.8862413,-0.240990378,0.097800082,-2.464112222,0.01373531,0.057814442,-1.86E+00
ATP6V0E2,428.9396962,-0.243161919,0.146895111,-1.655343854,0.097854768,0.178212326,-1.01E+00
NELL2,1181.721961,-0.243345986,0.134069943,-1.81506742,0.069513549,0.14301416,-1.16E+00
SLC8A1,1228.645412,-0.244779519,0.139376745,-1.756243618,0.07904682,0.154928473,-1.10E+00
TRPM2,63.41351233,-0.24518213,0.197157077,-1.243587771,0.213651319,0.311417559,-6.70E-01
GABRG2,133.8567994,-0.246634983,0.15096163,-1.633759404,0.10230938,0.183489648,-9.90E-01
MFN2,233.1869533,-0.246808399,0.08389595,-2.941839272,0.003262692,0.040999561,-2.49E+00
VCP,338.3320278,-0.247479338,0.163111131,-1.517243711,0.129205164,0.20994448,-8.89E-01
PQBP1,147.9514351,-0.247488154,0.136963915,-1.806958815,0.070768701,0.144873891,-1.15E+00
GRIA2,850.2213026,-0.251865853,0.119748157,-2.10329628,0.035439878,0.094315805,-1.45E+00
GSK3B,92.97426612,-0.254092163,0.121873892,-2.08487772,0.037080402,0.096502622,-1.43E+00
GALC,90.69134667,-0.255515166,0.148442243,-1.721310331,0.085194526,0.161169226,-1.07E+00
ATP5PO,981.94541,-0.257022893,0.130120992,-1.975260789,0.048238561,0.114659949,-1.32E+00
GRIN1,1059.807761,-0.257273522,0.142795126,-1.8016968,0.071593122,0.145478634,-1.15E+00
CNTNAP1,483.0987434,-0.261482596,0.122950174,-2.126736283,0.033442001,0.090457872,-1.48E+00
NPY,163.5674708,-0.264821484,0.16265585,-1.628109186,0.103501736,0.18460297,-9.85E-01
TBR1,215.1545679,-0.264853254,0.165816586,-1.597266357,0.110206347,0.189213527,-9.58E-01
MNAT1,33.4160183,-0.265432395,0.171919638,-1.543932956,0.122604575,0.20401647,-9.11E-01
ATF6,90.90227312,-0.266600802,0.174316139,-1.529409751,0.126162897,0.207339422,-8.99E-01
SOD2,1193.984616,-0.268803943,0.170769202,-1.57407741,0.115469554,0.194810598,-9.38E-01
ATP6V1H,605.0554416,-0.268984322,0.09318139,-2.886674291,0.00389337,0.041098613,-2.41E+00
PRKCB,954.0790806,-0.272659555,0.155924276,-1.748666474,0.080348688,0.155970983,-1.10E+00
SYT13,313.9949387,-0.273642492,0.148921862,-1.8374904,0.066137532,0.139192511,-1.18E+00
DGKB,660.1707556,-0.275431867,0.141386245,-1.948081067,0.051405264,0.119127367,-1.29E+00
SRI,778.5294225,-0.27582254,0.131396811,-2.099157037,0.03580306,0.094975963,-1.45E+00
GABRA4,225.3713866,-0.276475306,0.140308334,-1.970483846,0.048782945,0.115045776,-1.31E+00
EPHA4,366.9691227,-0.276609148,0.132337577,-2.090178419,0.036601775,0.095558433,-1.44E+00
SPTBN2,379.8929756,-0.278225036,0.141309327,-1.968907802,0.048963679,0.115085571,-1.31E+00
FMR1,99.38876754,-0.280585625,0.147687657,-1.899858328,0.057451714,0.126057617,-1.24E+00
FRMPD4,134.6226475,-0.281047269,0.176236644,-1.59471528,0.11077592,0.189213527,-9.56E-01
B4GALT6,278.1186878,-0.281964609,0.166368351,-1.694821206,0.090109343,0.167810854,-1.05E+00
FGF14,285.7244059,-0.283031999,0.124505723,-2.273244895,0.023011426,0.075037259,-1.64E+00
PGAM1,1562.552566,-0.283390029,0.163811273,-1.729978793,0.083634064,0.160834739,-1.08E+00
NDUSFA12,311.199088,-0.283942783,0.164856371,-1.722364631,0.085003487,0.161169226,-1.07E+00
CYP4X1,78.94709171,-0.285050081,0.13957714,-2.042240441,0.041127687,0.105047497,-1.39E+00
UBQLN1,824.7346674,-0.286321103,0.101383535,-2.824138098,0.004740795,0.041856857,-2.32E+00
ATP13A2,208.9405968,-0.287801594,0.142338589,-2.021950592,0.043181456,0.107627497,-1.36E+00
COX6C,1423.182773,-0.28984534,0.149069953,-1.944357896,0.051852307,0.119826761,-1.29E+00
CAMK2D,416.6452096,-0.290585609,0.140504793,-2.068154421,0.038625505,0.099893546,-1.41E+00
SCN2A,601.1001238,-0.290763728,0.132326946,-2.197313071,0.027998095,0.082980724,-1.55E+00
GNAQ,523.5350549,-0.292069646,0.1032152,-2.829715438,0.004658942,0.041856857,-2.33E+00
OTUB1,593.4994914,-0.293536859,0.156508344,-1.875534889,0.060719174,0.131824523,-1.22E+00
BNIP3,282.2602088,-0.294831059,0.089371513,-3.29893778,0.000970514,0.034820554,-3.01E+00
MAPK3,456.333066,-0.295271294,0.161511742,-1.828172307,0.067523696,0.140674366,-1.17E+00
COX7A2,716.4028282,-0.296215455,0.114727084,-2.581913923,0.009825409,0.051961296,-2.01E+00
AP2B1,593.065248,-0.298235684,0.102864717,-2.899300089,0.003739968,0.040999561,-2.43E+00
RAB6A,704.6493287,-0.300099605,0.17374266,-1.727264939,0.084120093,0.161169226,-1.08E+00
AP3M2,182.8109893,-0.300452504,0.101570992,-2.958054251,0.003095876,0.040999561,-2.51E+00
INPP4A,296.0457499,-0.302293155,0.125019955,-2.417959236,0.015607825,0.061906038,-1.81E+00
PDE1B,161.1467864,-0.304573303,0.189918765,-1.603703048,0.108779524,0.188140686,-9.63E-01
GRIN2C,62.61304853,-0.30680125,0.217064077,-1.413413284,0.157534242,0.245218395,-8.03E-01
NF1,227.6496533,-0.307595881,0.150908083,-2.038299579,0.041519982,0.105396877,-1.38E+00
ATP8A2,219.8154511,-0.307713949,0.170586841,-1.803855135,0.07125402,0.145478634,-1.15E+00
DLG3,156.7757794,-0.309150513,0.145355526,-2.126857654,0.033431912,0.090457872,-1.48E+00
CNTNAP2,253.9837539,-0.309911125,0.1527043,-2.029485256,0.042408889,0.106666968,-1.37E+00
GABRB3,304.0183262,-0.309922647,0.152805016,-2.028222996,0.042537494,0.106666968,-1.37E+00
HRAS,52.813283,-0.311225514,0.156943004,-1.983048026,0.047362065,0.113752581,-1.32E+00
MAP2K2,178.6764108,-0.31142425,0.127400654,-2.444447815,0.014507407,0.059545326,-1.84E+00
NCL,200.1957348,-0.323367351,0.140084466,-2.308374087,0.020978339,0.071571053,-1.68E+00
CERS6,352.8852928,-0.327250208,0.117112392,-2.794326048,0.005200801,0.042047671,-2.28E+00
NEFH,313.1636357,-0.327962192,0.26880462,-1.220076469,0.222435888,0.322512491,-6.53E-01
GTF2A1,224.0528609,-0.32822641,0.11510024,-2.851657044,0.0043492,0.041856857,-2.36E+00
CLTC,1027.438785,-0.328386114,0.164117829,-2.000916748,0.045401362,0.110847201,-1.34E+00
UBE2K,238.8467003,-0.328666714,0.166232659,-1.977148865,0.048024806,0.114523053,-1.32E+00
