,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,rank
MAPK1,380.6253656,-0.416689252,0.146767949,-2.839102508,0.004524062,0.041856857,-2.34E+00
PRKACA,556.8179825,-0.418362671,0.132382107,-3.160266003,0.001576252,0.036122433,-2.80E+00
PTPRN2,336.638851,-0.423064191,0.160294445,-2.639294143,0.008307886,0.048609973,-2.08E+00
GRIA4,391.0795697,-0.426895725,0.163409788,-2.612424451,0.008990256,0.050147391,-2.05E+00
ARC,52.1009062,-0.4296378,0.211418618,-2.032166342,0.042136819,0.106308488,-1.38E+00
CNKSR2,285.4014024,-0.431542959,0.138061955,-3.125719603,0.001773706,0.037135876,-2.75E+00
PPP3CB,874.1808907,-0.433891763,0.150897786,-2.87540179,0.004035137,0.041098613,-2.39E+00
AARS,403.1247415,-0.436008663,0.141265242,-3.086453944,0.002025593,0.037135876,-2.69E+00
UCHL1,1875.431246,-0.436033754,0.154418041,-2.823722878,0.004746941,0.041856857,-2.32E+00
PAK1,800.5379442,-0.448528071,0.171699617,-2.612283462,0.008993965,0.050147391,-2.05E+00
NPTN,1194.595635,-0.451653216,0.198279669,-2.277859447,0.022734953,0.074429906,-1.64E+00
BAD,125.9765391,-0.451831358,0.163980286,-2.755400481,0.005862033,0.042053718,-2.23E+00
SNCA,686.1247486,-0.452510904,0.165065768,-2.741397624,0.006117842,0.04277305,-2.21E+00
CAMK4,224.7583255,-0.452793058,0.142892308,-3.168771401,0.001530847,0.036122433,-2.82E+00
AP1S1,453.3519826,-0.454207626,0.18173107,-2.499339415,0.012442508,0.055188542,-1.91E+00
THY1,1657.061551,-0.454729296,0.200932099,-2.263099319,0.023629568,0.07528724,-1.63E+00
FGF12,596.2689818,-0.456309083,0.155280843,-2.938605135,0.003296928,0.040999561,-2.48E+00
TRIM37,312.203581,-0.462591479,0.178282529,-2.594710109,0.009467073,0.050716463,-2.02E+00
STX1A,424.3377978,-0.467454378,0.160342217,-2.915354334,0.003552849,0.040999561,-2.45E+00
ADCYAP1,94.44166177,-0.469298656,0.142260506,-3.298868183,0.000970755,0.034820554,-3.01E+00
CUL3,133.8774329,-0.469463984,0.175408611,-2.676402151,0.007441729,0.046865852,-2.13E+00
GNB5,176.7489939,-0.472516104,0.145152738,-3.255302734,0.001132716,0.036122433,-2.95E+00
DLG4,645.9571013,-0.474567777,0.197400767,-2.404082738,0.016213103,0.062654889,-1.79E+00
NSF,772.4052284,-0.475519917,0.199982064,-2.377812833,0.017415663,0.065308737,-1.76E+00
ATRN,154.6272825,-0.475971107,0.148294651,-3.209630997,0.001329055,0.036122433,-2.88E+00
PRKCA,274.6299242,-0.476028857,0.147997597,-3.216463416,0.001297811,0.036122433,-2.89E+00
SLC17A6,44.47817882,-0.477173864,0.248566839,-1.919700415,0.054895752,0.124367741,-1.26E+00
GRIN2B,234.4578896,-0.48656318,0.191452879,-2.541425241,0.011040155,0.053348046,-1.96E+00
SYT7,410.3913988,-0.487373988,0.192314398,-2.534256368,0.011268626,0.053636998,-1.95E+00
INPP5F,656.4331493,-0.488529055,0.211659521,-2.308089202,0.020994176,0.071571053,-1.68E+00
RAB2A,750.0939621,-0.490094326,0.183698748,-2.667924145,0.007632149,0.047342276,-2.12E+00
APP,2908.377388,-0.494241515,0.136460303,-3.621870288,0.000292481,0.01856128,-3.53E+00
PINK1,503.7769684,-0.497951436,0.156400033,-3.183832035,0.001453393,0.036122433,-2.84E+00
SNCB,1336.513063,-0.50038533,0.18946589,-2.641031214,0.00826541,0.048609973,-2.08E+00
INA,898.8952676,-0.511233167,0.231413819,-2.209173027,0.027162608,0.081785226,-1.57E+00
SYT4,281.7586384,-0.514354828,0.269532003,-1.908325628,0.056349143,0.124632822,-1.25E+00
MAGEE1,148.6125069,-0.516835216,0.175409801,-2.946444352,0.003214503,0.040999561,-2.49E+00
XK,57.06539696,-0.518336176,0.19798471,-2.61806164,0.008843083,0.050147391,-2.05E+00
ATP6V1A,744.8761672,-0.519730185,0.197878744,-2.626508408,0.008626586,0.049768766,-2.06E+00
MAPK10,824.6646893,-0.52049829,0.181981461,-2.860172067,0.004234112,0.041856857,-2.37E+00
GPRASP1,431.2339907,-0.522077776,0.179911936,-2.901851799,0.00370964,0.040999561,-2.43E+00
MAP2,1933.255579,-0.52293153,0.216592053,-2.414361578,0.015762811,0.061925329,-1.80E+00
PRKACB,962.2327848,-0.532521275,0.205755715,-2.588123857,0.009650028,0.05136305,-2.02E+00
SCN1A,263.8565098,-0.532869869,0.244788434,-2.176858848,0.029491101,0.084755177,-1.53E+00
DLGAP1,577.2188832,-0.5477368,0.170327225,-3.215791246,0.001300854,0.036122433,-2.89E+00
CALM1,2268.024095,-0.548119212,0.245243212,-2.23500258,0.025417179,0.078653261,-1.59E+00
RASGRP1,76.66416902,-0.561003496,0.268223616,-2.09155146,0.036478658,0.095558433,-1.44E+00
RIMS1,96.33387268,-0.561148817,0.255037699,-2.20025831,0.027788573,0.082980724,-1.56E+00
EFR3A,382.0523777,-0.561988376,0.208879196,-2.690494726,0.007134616,0.046346917,-2.15E+00
GABRA1,589.1811537,-0.562282108,0.187852827,-2.993205465,0.002760638,0.040054345,-2.56E+00
GLRB,248.5536614,-0.563762144,0.182281821,-3.092805081,0.001982743,0.037135876,-2.70E+00
GRIA1,245.3612195,-0.565699901,0.193837888,-2.918417589,0.003518129,0.040999561,-2.45E+00
PCSK2,157.3088781,-0.570910504,0.20567512,-2.775787872,0.005506812,0.042047671,-2.26E+00
CALB2,56.35552595,-0.57492813,0.214739087,-2.677333403,0.007421075,0.046865852,-2.13E+00
PLCB1,176.1969846,-0.583940185,0.215154454,-2.71405111,0.006646591,0.044536765,-2.18E+00
MAPK8,137.3846869,-0.587516096,0.146702334,-4.004817637,6.21E-05,0.010356772,-4.21E+00
PRKCG,106.6890982,-0.598615153,0.266643699,-2.245000183,0.024768121,0.077694676,-1.61E+00
HSPA6,96.15907334,-0.609883386,0.445293357,-1.369621569,0.170805063,0.26095218,-7.67E-01
NME5,59.18102776,-0.611671526,0.209566177,-2.918751181,0.003514366,0.040999561,-2.45E+00
CAMK2B,356.1316992,-0.611787183,0.174753612,-3.500855723,0.000463767,0.022506332,-3.33E+00
IPCEF1,146.4053202,-0.623259253,0.288445345,-2.160753379,0.030714395,0.086482512,-1.51E+00
SLC9A6,153.1025275,-0.624794255,0.216460136,-2.886417178,0.003896553,0.041098613,-2.41E+00
EPHA5,41.99862004,-0.62700588,0.260790846,-2.404248036,0.016205773,0.062654889,-1.79E+00
RAB3A,997.7914424,-0.631858268,0.226455172,-2.790213458,0.00526733,0.042047671,-2.28E+00
CPLX1,635.2750552,-0.637117858,0.217269216,-2.932388989,0.003363652,0.040999561,-2.47E+00
CCK,328.2676447,-0.63814105,0.284595251,-2.242275817,0.024943552,0.077948599,-1.60E+00
CADPS,107.3341049,-0.642175522,0.264085144,-2.431698776,0.0150282,0.06047934,-1.82E+00
STX1B,453.6085064,-0.648556953,0.193433668,-3.352864877,0.000799797,0.031420613,-3.10E+00
PVALB,80.50467398,-0.812315218,0.288930145,-2.811458871,0.00493174,0.042047671,-2.31E+00
