Frontal_Down,Temporal_Down,Hippocampus_Down,Midbrain_Down,Basal Ganglia_Down,Pons_Down,Occipital_Down,Thalamus_Down
IDH3A,,PPP1R2,FTL,GC,MAG,MAGI1,C19orf53
SRP54,,COX6C,TGOLN2,MAG,VGF,VGF,GADL1
YTHDF3,,LSAMP,SLC4A3,CADM4,GPR158,CRIP2,PPP1R2
CADM1,,CDH10,SERPINB3,PGAM1,GAP43,AQP4,MYCBP2
DPP6,,CADM4,AKR1B1,CD44,DSTN,ARL3,ENSA
APOA1,,YWHAG,AP1B1,NUDT5,SYN2,ACBD7,PALM
RAP1GAP2,,NCAM1,JAM3,CD14,SCG3,PLG,VSNL1
MRPS5,,CD200,COL12A1,PPP1R1A,CPE,HMGN2,H2AFX
ABAT,,TBC1D5,ATP2B2,NDUFS3,HSPA12A,NDUFAF4,RPL13
CD59,,CACNA2D1,SPTBN2,HBB,HPCAL4,NDUFA6,SFN
DPP6,,TF,SFN,PPP1R1B,CPLX2,FTL,GMFB
AKR1B1,,TPM4,TH,CLTC,JAM3,NRGN,HIST1H3A
CS,,PTPRZ1,APOA1,MAOB,CADM4,NGRN,ZDHHC5
CFB,,FAM171A2,EEF1A2,COX7A2,IGHM,PTBP2,RPL37
TUBB3,,ATP2A2,GPM6A,,NEFL,CDV3,SLC7A5
PPP1R1B,,ATP2B1,IGHG2,,MYO7A,SNCG,GADD45GIP1
ALDH2,,RPL13,SIRPA,,EEF1A2,SMAP,WDR44
DNM2,,NRXN2,ABRACL,,NNT,CST3,CDC26
CAND1,,PCDH1,,,UBAP2L,CALML5,PCP4
AP2B1,,PAM16,,,PPBP,CFAP70,CPLX2
SRI,,TOMM70A,,,CADM2,CDC26,RPL29
DDAH1,,CPLX2,,,GNAO1,RPL34,TGOLN2
CLTC,,DEPTOR,,,PVALB,PPP1R2,ARG1
TYW3,,MAP2K1,,,HPDL,DR1,CEND1
COX6C,,PLXNA4,,,CARTPT,ANP32A,FTL
NDUFA10,,SHANK2,,,UBA1,GH1,GSTM1
SLC25A5,,MRPS5,,,RAD23A,PCP4,HIST1H1E
SYP,,ATP2B2,,,AKR7A2,SRRT,XRCC6
RAB6A,,IPO11,,,EEA1,THEMIS,CTNNA2
ATP2A2,,APOA1,,,PTPRZ1,SCG3,HIST1H1C
ATP5PO,,GLG1,,,PPP3R1,NUDT21,MINK1
RAB1A,,RPS7,,,HIST1H4A,LCN1,SIRPA
,,CACNB1,,,PCP4,GNB1,
,,TF,,,SERPINC1,ING4,
,,RANBP1,,,LDHA,SPANXN4,
,,MEGF10,,,TOMM70A,,
,,APOA1,,,MRPS5,,
,,PLG,,,TTR,,
,,CPLX2,,,COX6C,,
,,,,,CPLX2,,
,,,,,CAPZB,,
,,,,,SRSF6,,
,,,,,KHDRBS1,,
,,,,,RANBP1,,
,,,,,DLD,,
,,,,,GPM6A,,
,,,,,SLC39A10,,
,,,,,APOA1,,
,,,,,RPS16,,
,,,,,CLTC,,
,,,,,OTUB1,,
,,,,,PLXNA4,,
,,,,,SKA2,,
,,,,,SIRPA,,
,,,,,PLG,,
