,CellType,annotLevel,p,fold_change,sd_from_mean,area,trend,FDR
EXT_11_L34,EXT_11_L34,2,0.00041,-1.074854486,-3.521521491,FrontalGM56,down,0.003973846
EXT_4_L56,EXT_4_L56,2,0,-1.877737002,-27.66568293,FrontalGM56,down,0
EXT_8_L6,EXT_8_L6,2,0,-1.421367981,-25.73097459,FrontalGM56,down,0
EXT_9_L6,EXT_9_L6,2,0,-1.90369721,-38.06943618,FrontalGM56,down,0
ODC_2,ODC_2,2,0.00253,-1.081813819,-2.916693379,FrontalGM56,down,0.02024
ODC_3,ODC_3,2,0,-1.204561023,-8.220201402,FrontalGM56,down,0
